domain,value_head,stage,epoch,mean,min,max,n
rover,on,stage1,130,20.0,20.0,20.0,5
rover,on,stage1,135,21.0,20.0,25.0,5
rover,on,stage1,140,20.0,20.0,20.0,5
rover,on,stage1,143,20.0,20.0,20.0,1
rover,on,stage1,145,21.25,20.0,25.0,4
rover,on,stage1,150,21.666666666666668,20.0,25.0,3
rover,on,stage1,155,20.0,20.0,20.0,3
rover,on,stage1,160,20.0,20.0,20.0,3
rover,on,stage1,165,20.0,20.0,20.0,2
rover,on,stage1,170,20.0,20.0,20.0,1
rover,on,stage1,175,20.0,20.0,20.0,1
rover,on,stage1,180,20.0,20.0,20.0,1
rover,on,stage1,185,20.0,20.0,20.0,1
rover,on,stage1,190,20.0,20.0,20.0,1
rover,on,stage2,0,20.0,20.0,20.0,22
rover,on,stage2,5,20.0,20.0,20.0,22
rover,on,stage2,10,20.0,20.0,20.0,22
rover,on,stage2,15,20.0,20.0,20.0,22
rover,on,stage2,20,20.0,20.0,20.0,22
rover,on,stage2,25,20.227272727272727,20.0,25.0,22
rover,on,stage2,30,20.227272727272727,20.0,25.0,22
rover,on,stage2,35,20.681818181818183,20.0,30.0,22
rover,on,stage2,40,20.454545454545453,20.0,25.0,22
rover,on,stage2,45,20.681818181818183,20.0,25.0,22
rover,on,stage2,50,20.454545454545453,20.0,25.0,22
rover,on,stage2,55,20.454545454545453,20.0,25.0,22
rover,on,stage2,60,20.454545454545453,20.0,25.0,22
rover,on,stage2,65,20.681818181818183,20.0,25.0,22
rover,on,stage2,70,20.454545454545453,20.0,25.0,22
rover,on,stage2,75,20.681818181818183,20.0,25.0,22
rover,on,stage2,80,20.681818181818183,20.0,25.0,22
rover,on,stage2,85,20.454545454545453,20.0,25.0,22
rover,on,stage2,90,20.454545454545453,20.0,25.0,22
rover,on,stage2,95,20.681818181818183,20.0,30.0,22
rover,on,stage2,99,20.454545454545453,20.0,25.0,22
counters,off,stage1,1,16.949152542372882,16.949152542372882,16.949152542372882,1
counters,off,stage1,3,100.0,100.0,100.0,1
counters,off,stage1,5,38.135593220338976,3.389830508474576,100.0,10
