job_id,experiment_id,stage,value_head,seed,arm,source_log,source_ledgers
20684988,,,on,2011206605,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684988_horizon-drone-on-2011206605-aware.txt,mcts_horizon_binding/results.csv
20684989,,,on,1073581256,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684989_horizon-drone-on-1073581256-unaware.txt,mcts_horizon_binding/results.csv
20684990,,,on,1073581256,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684990_horizon-drone-on-1073581256-aware.txt,mcts_horizon_binding/results.csv
20684991,,,on,1239739722,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684991_horizon-drone-on-1239739722-unaware.txt,mcts_horizon_binding/results.csv
20684992,,,on,1239739722,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684992_horizon-drone-on-1239739722-aware.txt,mcts_horizon_binding/results.csv
20684993,,,on,1472491096,unaware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684993_horizon-drone-on-1472491096-unaware.txt,mcts_horizon_binding/results.csv
20684994,,,on,1472491096,aware,/home/hersco/training_new_domains/2026-08-28/mcts_horizon_binding/20684994_horizon-drone-on-1472491096-aware.txt,mcts_horizon_binding/results.csv
20688117,MCTS-SAFE-CONTEXT,,off,1963100312,physical,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,mcts_safe_context/live_reconciliation_20260831.csv
20688118,MCTS-SAFE-CONTEXT,,off,1963100312,contextual,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,mcts_safe_context/live_reconciliation_20260831.csv
20688119,MCTS-SAFE-CONTEXT,,off,2011206605,physical,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-2011206605-physical_20688119.out,mcts_safe_context/live_reconciliation_20260831.csv
20688120,MCTS-SAFE-CONTEXT,,off,2011206605,contextual,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-2011206605-contextual_20688120.out,mcts_safe_context/live_reconciliation_20260831.csv
20688121,MCTS-SAFE-CONTEXT,,off,1073581256,physical,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1073581256-physical_20688121.out,mcts_safe_context/live_reconciliation_20260831.csv
20688122,MCTS-SAFE-CONTEXT,,off,1073581256,contextual,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1073581256-contextual_20688122.out,mcts_safe_context/live_reconciliation_20260831.csv
20688123,MCTS-SAFE-CONTEXT,,off,1239739722,physical,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1239739722-physical_20688123.out,mcts_safe_context/live_reconciliation_20260831.csv
20688124,MCTS-SAFE-CONTEXT,,off,1239739722,contextual,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1239739722-contextual_20688124.out,mcts_safe_context/live_reconciliation_20260831.csv
20688125,MCTS-SAFE-CONTEXT,,off,1472491096,physical,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1472491096-physical_20688125.out,mcts_safe_context/live_reconciliation_20260831.csv
20688126,MCTS-SAFE-CONTEXT,,off,1472491096,contextual,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1472491096-contextual_20688126.out,mcts_safe_context/live_reconciliation_20260831.csv
20688127,MCTS-SAFE-CONTEXT,,on,1963100312,physical,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1963100312-physical_20688127.out,mcts_safe_context/live_reconciliation_20260831.csv
20688128,MCTS-SAFE-CONTEXT,,on,1963100312,contextual,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1963100312-contextual_20688128.out,mcts_safe_context/live_reconciliation_20260831.csv
20688129,MCTS-SAFE-CONTEXT,,on,2011206605,physical,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-2011206605-physical_20688129.out,mcts_safe_context/live_reconciliation_20260831.csv
20688130,MCTS-SAFE-CONTEXT,,on,2011206605,contextual,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-2011206605-contextual_20688130.out,mcts_safe_context/live_reconciliation_20260831.csv
20688131,MCTS-SAFE-CONTEXT,,on,1073581256,physical,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1073581256-physical_20688131.out,mcts_safe_context/live_reconciliation_20260831.csv
20688132,MCTS-SAFE-CONTEXT,,on,1073581256,contextual,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1073581256-contextual_20688132.out,mcts_safe_context/live_reconciliation_20260831.csv
20688133,MCTS-SAFE-CONTEXT,,on,1239739722,physical,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1239739722-physical_20688133.out,mcts_safe_context/live_reconciliation_20260831.csv
20688134,MCTS-SAFE-CONTEXT,,on,1239739722,contextual,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1239739722-contextual_20688134.out,mcts_safe_context/live_reconciliation_20260831.csv
